id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,diameter_min_meters,diameter_max_meters,diameter_avg_meters,close_approach_date,epoch_date_close_approach,relative_velocity_km_per_sec,relative_velocity_km_per_hour,relative_velocity_miles_per_hour,miss_distance_astronomical,miss_distance_lunar,miss_distance_kilometers,miss_distance_miles,orbiting_body
54543547,(2025 RB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543547,26.57,False,False,12.8989683343,28.8429700351,20.870969184699998,2025-09-02,1756810620000,14.7557350247,53120.6460889715,33007.1036767834,0.0433755449,16.8730869661,6488889.127129363,4032008.7368686894,Earth
54543830,(2025 RF),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543830,26.41,False,False,13.8852907036,31.0484539006,22.4668723021,2025-09-02,1756851180000,22.9562292617,82642.4253422906,51350.7892356028,0.0100813767,3.9216555363,1508152.480987629,937122.4967381202,Earth
54544571,(2025 RN1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54544571,30.5,False,False,2.1113244479,4.7210649881,3.416194718,2025-09-02,1756847520000,13.2020531084,47527.3911902198,29531.6725981674,0.0008501319,0.3307013091,127177.921459053,79024.6959708114,Earth
54544572,(2025 RO1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54544572,30.67,False,True,1.9523378616,4.3655601735,3.15894901755,2025-09-02,1756830660000,11.7262375026,42214.4550093647,26230.4206695688,0.0019946783,0.7759298587,298399.625015221,185416.9290872098,Earth
54545155,(2025 RE3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545155,26.033,False,False,16.5179054791,36.9351594971,26.726532488100002,2025-09-02,1756784400000,7.6875658536,27675.2370731207,17196.3160580177,0.0670758364,26.0925003596,10034402.253908468,6235088.4356861384,Earth
54545169,(2025 RV3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545169,26.649,False,False,12.4381267057,27.8124968268,20.12531176625,2025-09-02,1756806060000,5.0530247174,18190.8889825702,11303.1109903087,0.0161159274,6.2690957586,2410908.412114638,1498069.0209044844,Earth
54546126,(2025 SC1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546126,26.209,False,False,15.2319314523,34.0596341561,24.645782804200003,2025-09-02,1756807440000,8.1133104981,29207.9177933004,18148.6642532872,0.0630138958,24.5124054662,9426744.592081946,5857507.4732890148,Earth
54550576,(2025 TR1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54550576,24.86,False,False,28.3501249023,63.3928064522,45.87146567725,2025-09-02,1756798920000,9.3978993607,33832.4376984989,21022.1610799367,0.0372315602,14.4830769178,5569762.102696774,3460889.6870285212,Earth
3014184,(1998 SD9),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3014184,24.09,False,False,40.4161533403,90.3732662579,65.3947097991,2025-09-01,1756731240000,22.8116112438,82121.8004778265,51027.2931913473,0.3554671418,138.2767181602,53177127.268267966,33042734.6725352908,Earth
3136724,(2002 RS129),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3136724,22.91,False,False,69.5913043585,155.6108871884,112.60109577345,2025-09-01,1756705500000,15.6613544445,56380.8760003184,35032.8837569756,0.1623236252,63.1438902028,24283268.580598324,15088923.4133079112,Earth
